PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Age_is_missing,RoomService_is_missing,FoodCourt_is_missing,ShoppingMall_is_missing,Spa_is_missing,VRDeck_is_missing,HomePlanet_is_missing,CryoSleep_is_missing,Cabin_is_missing,Destination_is_missing,VIP_is_missing,Name_is_missing
101,2,1,150,3,39.0,1,0.0,0.0,0.0,0.0,0.0,5253,False,False,False,False,False,False,False,False,False,False,False,False,False
201,1,1,2185,3,24.0,1,109.0,9.0,25.0,549.0,44.0,4503,True,False,False,False,False,False,False,False,False,False,False,False,False
301,2,1,2,3,58.0,2,43.0,3576.0,0.0,6715.0,49.0,458,False,False,False,False,False,False,False,False,False,False,False,False,False
302,2,1,2,3,33.0,1,0.0,1283.0,371.0,3329.0,193.0,7150,False,False,False,False,False,False,False,False,False,False,False,False,False
401,1,1,2187,3,16.0,1,303.0,70.0,151.0,565.0,2.0,8320,True,False,False,False,False,False,False,False,False,False,False,False,False
501,1,1,2184,2,44.0,1,0.0,483.0,0.0,291.0,0.0,6879,True,False,False,False,False,False,False,False,False,False,False,False,False
601,1,1,3426,3,26.0,1,42.0,1539.0,3.0,0.0,0.0,1156,True,False,False,False,False,False,False,False,False,False,False,False,False
602,1,2,4560,3,28.0,1,0.0,0.0,0.0,0.0,0.0,1454,True,False,False,False,False,False,True,False,False,False,False,False,False
701,1,1,3566,3,35.0,1,0.0,785.0,17.0,216.0,0.0,557,True,False,False,False,False,False,False,False,False,False,False,False,False
801,2,2,151,1,14.0,1,0.0,0.0,0.0,0.0,0.0,2865,True,False,False,False,False,False,False,False,False,False,False,False,False
802,2,2,151,3,34.0,1,0.0,0.0,0.0,0.0,0.0,454,True,False,False,False,True,False,False,False,False,False,False,False,False
803,2,1,151,1,45.0,1,39.0,7295.0,589.0,110.0,124.0,8256,True,False,False,False,False,False,False,False,False,False,False,False,False
901,3,1,2186,3,32.0,1,73.0,0.0,1123.0,0.0,113.0,1085,True,False,False,False,False,False,False,False,False,False,False,False,False
1001,1,1,4562,3,48.0,1,719.0,1.0,65.0,0.0,24.0,6577,False,False,False,False,False,False,False,False,False,False,False,False,False
1101,1,1,3425,3,28.0,1,8.0,974.0,12.0,2.0,7.0,2700,True,False,False,False,False,False,False,False,False,False,False,False,False
1201,1,1,0,3,31.0,1,32.0,0.0,876.0,0.0,0.0,4536,False,False,False,False,False,False,False,False,False,True,False,False,False
1401,3,1,3565,1,27.0,1,1286.0,122.0,0.0,0.0,0.0,3061,False,False,False,False,True,False,False,False,False,False,False,False,False
1501,1,1,3697,1,24.0,1,0.0,1.0,0.0,0.0,637.0,1549,False,False,False,False,False,False,False,False,False,False,False,False,False
1601,3,2,3845,3,45.0,1,0.0,0.0,0.0,0.0,0.0,466,True,False,False,False,False,False,False,False,False,False,False,False,False
1701,1,1,4559,3,0.0,1,0.0,0.0,0.0,0.0,0.0,5173,True,False,False,False,False,False,False,False,False,False,False,False,False
1702,1,1,3989,1,14.0,1,412.0,0.0,1.0,0.0,679.0,6245,False,False,False,False,False,False,False,False,False,False,False,False,False
2001,1,2,1408,3,1.0,1,0.0,0.0,0.0,0.0,0.0,365,False,False,False,False,False,False,False,False,False,False,False,False,False
2002,1,2,1408,1,49.0,1,0.0,0.0,0.0,0.0,0.0,3372,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,1,2,1408,1,29.0,1,0.0,0.0,0.0,0.0,0.0,5677,False,False,False,False,True,False,False,False,False,False,False,False,False
2004,1,1,1408,3,10.0,1,0.0,0.0,0.0,0.0,0.0,1344,True,False,False,False,False,False,False,False,False,False,False,False,False
2005,1,2,1408,2,1.0,1,0.0,0.0,0.0,0.0,0.0,5240,False,False,True,False,False,False,False,False,False,False,False,False,False
2006,1,1,1408,3,7.0,1,0.0,0.0,0.0,0.0,0.0,7607,False,False,False,False,False,False,False,False,False,False,False,False,False
2201,3,1,1035,3,21.0,1,980.0,2.0,69.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2401,2,2,751,3,62.0,1,0.0,0.0,0.0,0.0,0.0,6209,True,False,False,False,True,False,False,False,False,False,False,False,False
2501,1,1,3990,3,15.0,1,0.0,225.0,0.0,998.0,0.0,4562,False,False,False,False,False,False,False,False,False,False,False,False,False
2601,2,1,599,1,34.0,1,22.0,6073.0,0.0,1438.0,328.0,665,False,False,False,False,False,False,False,False,False,False,False,False,False
2801,3,1,4269,3,43.0,1,1125.0,0.0,136.0,48.0,0.0,1628,False,False,False,False,False,False,False,False,False,False,False,False,False
3001,1,1,5661,3,32.0,1,0.0,850.0,81.0,437.0,453.0,3356,False,False,False,False,False,False,False,False,False,False,False,False,False
3101,3,1,4407,3,47.0,1,214.0,0.0,1411.0,0.0,1229.0,1901,True,False,False,False,False,False,False,False,False,False,False,False,False
3102,3,1,4407,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1781,True,False,False,False,False,False,False,False,False,False,False,False,False
3103,3,1,4407,3,20.0,1,0.0,0.0,1750.0,990.0,0.0,2368,True,False,True,False,False,False,False,False,False,False,False,False,False
3401,2,2,1037,1,28.0,1,0.0,0.0,0.0,0.0,0.0,8452,True,False,False,False,False,False,False,False,False,False,False,False,False
3501,3,1,1036,1,23.0,1,784.0,964.0,0.0,951.0,0.0,5148,False,False,False,False,False,False,False,False,False,False,False,False,False
3601,1,1,4270,1,15.0,0,0.0,492.0,48.0,20.0,401.0,5337,False,False,False,False,False,False,False,False,False,False,False,True,False
3801,1,1,2189,1,20.0,1,554.0,195.0,0.0,2606.0,0.0,5047,False,False,False,False,False,False,False,False,False,False,False,False,False
3901,1,2,4561,1,30.0,1,0.0,0.0,0.0,0.0,0.0,4457,False,False,False,False,True,False,False,False,False,False,False,False,False
4101,1,2,5363,3,17.0,1,0.0,0.0,0.0,0.0,0.0,5312,True,False,False,False,False,False,False,False,False,False,False,False,False
4301,2,1,462,3,45.0,1,0.0,164.0,45.0,2511.0,855.0,587,False,False,False,False,False,False,False,False,False,False,False,False,False
4401,1,2,5514,3,55.0,1,0.0,0.0,0.0,0.0,0.0,4397,False,False,False,False,False,False,False,False,False,False,False,False,False
4402,1,2,5514,1,4.0,1,0.0,0.0,0.0,0.0,0.0,4631,True,False,False,False,False,False,False,False,False,False,False,False,False
4403,1,2,5514,2,21.0,1,0.0,0.0,0.0,0.0,0.0,1568,True,False,False,False,False,False,False,False,False,False,False,False,False
4501,3,1,2188,3,21.0,1,970.0,0.0,180.0,0.0,64.0,8444,False,False,False,False,False,False,False,False,False,False,False,False,False
4502,3,2,2188,0,19.0,1,0.0,0.0,0.0,0.0,0.0,5390,True,False,False,False,False,False,False,False,False,False,True,False,False
5001,1,1,1409,1,35.0,1,790.0,0.0,0.0,0.0,0.0,7174,False,False,False,False,False,True,False,False,False,False,False,False,False
5101,1,1,1558,3,56.0,1,0.0,112.0,0.0,1379.0,127.0,8062,False,False,False,False,False,False,False,False,False,False,False,False,False
5201,1,1,5956,3,27.0,1,4.0,0.0,2.0,4683.0,0.0,2590,False,True,False,False,False,False,False,False,False,False,False,False,False
5301,1,1,2331,3,25.0,1,0.0,0.0,1938.0,0.0,1.0,2734,True,False,False,False,False,False,False,False,False,False,False,False,False
5601,2,1,3,3,2.0,1,0.0,0.0,0.0,0.0,0.0,6055,True,False,False,False,False,False,False,False,False,False,False,False,False
5602,2,2,3,3,38.0,1,0.0,0.0,0.0,0.0,0.0,4042,True,False,False,False,False,False,False,False,False,False,False,False,False
5603,2,1,3,3,27.0,1,279.0,605.0,3374.0,286.0,3.0,8457,True,False,False,False,False,False,False,False,False,False,False,False,False
5801,1,2,6109,2,36.0,1,0.0,0.0,0.0,0.0,0.0,8135,False,False,False,False,False,False,False,False,False,False,False,False,False
6101,1,1,2483,3,22.0,1,45.0,1096.0,148.0,1377.0,1.0,7041,False,False,False,False,False,False,False,False,False,False,False,False,False
6201,1,1,2629,3,62.0,1,0.0,592.0,0.0,17.0,25.0,7299,False,False,False,False,False,False,False,False,False,False,False,False,False
6401,3,2,2764,3,15.0,1,0.0,0.0,0.0,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True
6402,0,2,1698,3,33.0,1,0.0,0.0,0.0,0.0,0.0,1871,True,False,False,False,True,False,False,True,False,False,False,False,False
6601,1,1,5955,3,62.0,1,1.0,153.0,197.0,0.0,460.0,2273,False,False,False,False,False,False,False,False,False,False,False,False,False
6701,1,2,4563,2,0.0,1,0.0,0.0,0.0,0.0,0.0,5982,True,False,False,False,False,False,False,False,False,False,False,False,False
6702,1,1,4563,3,18.0,1,1.0,258.0,446.0,0.0,0.0,1603,True,False,False,False,False,False,False,False,False,False,False,False,False
6703,1,1,2906,1,21.0,1,1946.0,37.0,0.0,0.0,24.0,7992,False,False,False,False,False,False,False,False,False,False,False,False,False
6801,3,1,1846,3,27.0,1,793.0,0.0,2.0,253.0,0.0,1794,False,True,False,False,False,False,False,False,False,False,False,False,False
6901,1,1,3045,3,42.0,1,887.0,0.0,9.0,6.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True
7001,1,1,2628,3,19.0,1,190.0,0.0,5.0,1.0,726.0,5508,False,False,False,False,False,False,False,False,False,False,False,False,False
7101,1,1,2763,3,17.0,1,16.0,2165.0,0.0,0.0,52.0,5917,False,False,False,False,False,False,False,False,False,False,False,False,False
7201,1,1,3191,3,14.0,1,0.0,1.0,0.0,0.0,1063.0,7648,False,False,False,False,False,False,False,False,False,False,False,False,False
7301,3,1,1304,2,37.0,1,46.0,83.0,738.0,0.0,12.0,3464,False,False,False,False,False,False,False,False,False,False,False,False,False
7401,2,1,904,3,42.0,1,1.0,8397.0,0.0,0.0,506.0,203,True,False,False,False,False,False,False,False,False,False,False,False,False
7601,3,1,3332,3,27.0,1,147.0,0.0,1018.0,0.0,0.0,1896,True,False,False,False,False,False,False,False,False,False,False,False,False
7701,3,1,2905,3,28.0,1,14.0,0.0,1295.0,0.0,0.0,6325,True,False,False,False,False,False,False,False,False,False,False,False,False
7801,2,1,951,3,38.0,1,0.0,5840.0,0.0,321.0,9654.0,7201,False,False,False,False,False,False,False,False,False,False,False,False,False
8101,1,2,4993,3,13.0,1,0.0,0.0,0.0,0.0,0.0,2201,False,False,False,False,False,False,False,False,False,False,False,False,False
8201,3,1,3044,3,42.0,1,7406.0,0.0,0.0,0.0,0.0,7830,False,False,False,False,False,False,False,False,False,False,False,False,False
8202,3,2,3044,3,2.0,1,0.0,0.0,0.0,0.0,0.0,2501,True,False,False,False,False,False,False,False,False,False,False,False,False
8203,3,1,3044,3,8.0,1,0.0,0.0,0.0,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True
8401,1,1,5140,3,24.0,1,688.0,0.0,0.0,0.0,17.0,1936,True,False,False,False,False,False,False,False,False,False,False,False,False
8501,2,2,963,3,40.0,1,0.0,0.0,0.0,0.0,0.0,3157,True,False,False,False,False,False,False,False,False,False,False,False,False
8601,1,1,3190,3,43.0,1,211.0,0.0,0.0,638.0,513.0,4400,False,False,False,False,False,False,False,False,False,False,False,False,False
8801,3,2,1989,2,45.0,1,0.0,0.0,0.0,0.0,0.0,7321,True,False,False,False,False,False,False,False,False,False,False,False,False
9001,1,2,5282,3,35.0,1,0.0,0.0,0.0,0.0,0.0,3843,True,False,False,False,False,False,False,False,False,False,False,False,False
9101,1,2,5304,3,26.0,1,0.0,0.0,0.0,0.0,0.0,2162,True,False,True,False,False,False,False,False,False,False,False,False,False
9102,1,1,3427,3,27.0,1,1.0,697.0,31.0,188.0,0.0,7749,False,False,False,False,False,False,False,False,False,False,False,False,False
9201,1,1,6403,3,19.0,1,0.0,0.0,670.0,1.0,34.0,3488,False,False,False,False,False,False,False,False,False,False,False,False,False
9202,1,2,6403,3,0.0,1,0.0,0.0,0.0,0.0,0.0,7233,True,False,False,False,True,False,False,False,False,False,False,False,False
9203,1,2,6403,3,3.0,1,0.0,0.0,0.0,0.0,0.0,7744,True,False,False,False,False,False,False,False,False,False,False,False,False
9701,2,1,25,3,54.0,1,0.0,1208.0,0.0,3.0,637.0,165,False,False,False,False,False,False,False,False,False,False,False,False,False
9801,1,1,4711,3,26.0,1,0.0,856.0,5.0,32.0,0.0,2395,False,False,False,False,False,False,False,False,False,False,False,False,False
9802,1,1,4711,3,26.0,1,0.0,2811.0,957.0,0.0,87.0,4851,True,False,False,False,False,False,False,False,False,False,False,False,False
9901,1,1,3408,2,23.0,1,311.0,427.0,526.0,37.0,0.0,296,False,False,False,False,False,False,False,False,False,False,False,False,False
9902,1,0,4849,3,2.0,1,0.0,0.0,0.0,0.0,0.0,7696,True,False,False,False,False,False,False,False,True,False,False,False,False
10101,3,2,0,3,31.0,1,0.0,0.0,0.0,0.0,0.0,1262,True,False,False,False,False,False,False,False,False,True,False,False,False
10201,1,1,3472,3,18.0,1,0.0,0.0,0.0,830.0,91.0,6654,False,False,False,False,False,False,False,False,False,False,False,False,False
10301,1,1,3486,3,24.0,1,0.0,0.0,0.0,0.0,17.0,726,True,False,False,True,False,False,False,False,False,False,False,False,False
10302,1,2,5332,1,9.0,1,0.0,0.0,0.0,0.0,0.0,6990,True,False,False,False,False,False,False,False,False,False,False,False,False
10303,1,2,5332,3,6.0,1,0.0,0.0,0.0,0.0,0.0,2976,False,False,False,False,False,False,False,False,False,False,False,False,False
10501,1,0,3443,3,27.0,1,0.0,0.0,570.0,2.0,131.0,1546,False,False,False,False,False,False,False,False,True,False,False,False,False
10701,3,1,1183,3,21.0,1,1743.0,5.0,17.0,0.0,0.0,1902,False,False,False,False,False,False,False,False,False,False,False,False,False
10801,1,2,5349,3,23.0,1,0.0,0.0,0.0,0.0,0.0,5872,False,False,False,False,False,False,False,False,False,False,False,False,False
10802,1,1,5349,3,31.0,1,562.0,0.0,326.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
10803,1,1,5349,3,0.0,0,0.0,0.0,0.0,0.0,0.0,6069,True,False,False,False,False,False,False,False,False,False,False,True,False
11001,2,1,0,3,32.0,1,0.0,410.0,6.0,3929.0,764.0,3527,False,False,False,False,False,False,False,False,False,True,False,False,False
11002,2,0,529,3,40.0,1,0.0,331.0,0.0,0.0,1687.0,186,False,False,False,False,False,False,False,False,True,False,False,False,False
11003,2,1,529,3,42.0,1,2209.0,11418.0,0.0,1868.0,445.0,120,True,False,False,False,False,False,False,False,False,False,False,False,False
11004,2,2,529,3,28.0,1,0.0,0.0,0.0,0.0,0.0,4125,True,False,False,False,False,False,False,False,False,False,False,False,False
11101,2,2,2122,3,29.0,1,0.0,0.0,0.0,0.0,0.0,192,True,False,False,False,False,False,False,False,False,False,False,False,False
11201,2,1,152,1,48.0,2,0.0,2537.0,87.0,17.0,13.0,5744,True,False,False,False,False,False,False,False,False,False,False,False,False
11301,1,1,3471,3,64.0,1,0.0,0.0,804.0,0.0,0.0,4016,True,False,False,False,False,False,False,False,False,False,False,False,False
11401,1,1,5365,3,27.0,1,82.0,157.0,429.0,238.0,1.0,5407,False,False,False,False,False,False,False,False,False,False,False,False,False
11501,3,0,3485,3,26.0,1,0.0,0.0,0.0,0.0,0.0,6676,True,False,False,False,False,False,True,False,True,False,False,False,False
11601,2,1,1315,3,33.0,1,1.0,2223.0,0.0,12.0,404.0,281,True,False,False,False,False,False,False,False,False,False,False,False,False
11901,0,1,1,3,39.0,1,0.0,2344.0,0.0,65.0,6898.0,961,False,False,False,False,False,False,False,True,False,False,False,False,False
11902,2,2,1,3,13.0,1,0.0,0.0,0.0,0.0,0.0,4722,True,False,False,False,False,False,False,False,False,False,False,False,False
12001,3,2,3501,3,24.0,1,0.0,0.0,0.0,0.0,0.0,1011,True,False,False,False,False,False,True,False,False,False,False,False,False
12201,1,1,5378,3,29.0,1,0.0,0.0,0.0,699.0,74.0,7068,False,False,False,False,False,False,False,False,False,False,False,False,False
12301,1,1,3524,3,18.0,1,55.0,597.0,49.0,0.0,1.0,4053,False,False,False,False,False,False,False,False,False,False,False,False,False
12601,3,2,3525,3,67.0,1,0.0,0.0,0.0,0.0,0.0,5580,True,False,False,False,False,False,False,False,False,False,False,False,False
12701,3,1,2142,3,35.0,1,701.0,0.0,296.0,0.0,25.0,5582,False,False,False,False,False,False,False,False,False,False,False,False,False
12801,3,1,1305,3,61.0,2,2353.0,334.0,9.0,316.0,2.0,3562,False,False,False,False,False,False,False,False,False,False,False,False,False
12802,3,1,2159,3,45.0,1,2103.0,6.0,0.0,0.0,0.0,943,False,False,False,False,False,False,False,False,False,False,False,False,False
12901,1,2,5397,2,22.0,1,0.0,0.0,0.0,0.0,0.0,6421,True,False,False,False,True,False,False,False,False,False,False,False,False
13301,3,2,3552,3,19.0,1,0.0,0.0,0.0,0.0,0.0,3072,True,False,False,False,False,False,False,False,False,False,False,False,False
13302,3,1,1331,3,36.0,1,2738.0,0.0,0.0,0.0,0.0,2555,False,False,False,False,False,False,False,False,False,False,False,False,False
13401,1,1,5316,3,19.0,1,0.0,14.0,730.0,0.0,0.0,1446,True,False,False,False,False,False,False,False,False,False,False,False,False
13601,1,1,5411,2,47.0,1,97.0,418.0,126.0,25.0,55.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
13801,1,2,5331,3,13.0,1,0.0,0.0,0.0,0.0,0.0,2997,True,False,False,False,False,False,False,False,False,False,False,False,False
13802,1,1,1988,0,34.0,1,0.0,22.0,0.0,564.0,207.0,5691,False,False,False,False,False,False,False,False,False,False,True,False,False
13901,2,2,980,1,35.0,1,0.0,0.0,0.0,0.0,0.0,1657,True,False,False,False,False,False,False,False,False,False,False,False,False
14001,1,2,5348,3,24.0,1,0.0,0.0,0.0,0.0,0.0,2919,True,False,False,False,False,False,False,False,False,False,False,False,False
14002,1,1,3551,3,26.0,1,440.0,0.0,0.0,0.0,462.0,8019,False,False,False,False,False,False,False,False,False,False,False,False,False
14101,3,1,3567,3,31.0,1,0.0,0.0,97.0,0.0,0.0,6397,False,False,True,False,False,False,False,False,False,False,False,False,False
14401,1,1,3580,3,20.0,1,0.0,420.0,210.0,0.0,0.0,3572,True,False,False,False,False,False,False,False,False,False,False,False,False
